id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-26,0.13045647552808606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,6.0,0.0,2.0
AS14.01,2014-02-27,0.07022016657839027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
AS14.01,2014-02-28,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-01,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,1.0
AS14.01,2014-03-02,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-03,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-04,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-05,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-06,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-07,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-08,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-09,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-10,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-11,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-12,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.0,1.0,7.0,0.0,1.0
AS14.01,2014-03-13,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.0,1.0,7.0,0.0,0.0
AS14.01,2014-03-14,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.0,1.0,7.0,0.0,1.0
AS14.01,2014-03-15,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,1.0
AS14.01,2014-03-16,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,3.0
AS14.01,2014-03-17,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,7.0,0.0,1.0
AS14.01,2014-03-18,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,2.0
AS14.01,2014-03-19,0.12000274765440407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,7.0,0.0,0.0
